admin3Name_en,admin3Name_alias,admin3Pcode,admin2Name_en,admin2Name_alias,admin2Pcode,admin1Name_en,admin1Name_alias,admin1Pcode,admin0Name_en,admin0Name_alias,admin0Pcode
ABO/FIKO (BONALEA),ABO/FIKO (BONALEA),LT0101,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
BARE-BAKEM,BARE-BAKEM,LT0102,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
DIBOMBARI,DIBOMBARI,LT0103,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
LOUM,LOUM,LT0104,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
MANJO,MANJO,LT0105,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
MBANGA,MBANGA,LT0106,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
MELONG,MELONG,LT0107,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
MOMBO,MOMBO,LT0108,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
NJOMBE-PENJA (PENJA),NJOMBE-PENJA (PENJA),LT0109,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
NKONGSAMBA I,NKONGSAMBA I,LT0110,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
NKONGSAMBA II,NKONGSAMBA II,LT0111,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
NKONGSAMBA III,NKONGSAMBA III,LT0112,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
NLONAKO (EBONE),NLONAKO (EBONE),LT0113,MOUNGO,MOUNGO,LT01,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
NKONDJOCK,NKONDJOCK,LT0201,NKAM,NKAM,LT02,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
NORD MAKOMBÉ (NDOG-BIANG),NORD MAKOMBÉ (NDOG-BIANG),LT0202,NKAM,NKAM,LT02,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
YABASSI,YABASSI,LT0203,NKAM,NKAM,LT02,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
YINGUI,YINGUI,LT0204,NKAM,NKAM,LT02,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
DIBAMBA,DIBAMBA,LT0301,SANAGA MARITIME,SANAGA MARITIME,LT03,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
DIZANGUE,DIZANGUE,LT0302,SANAGA MARITIME,SANAGA MARITIME,LT03,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
EDEA I,EDEA I,LT0303,SANAGA MARITIME,SANAGA MARITIME,LT03,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
EDEA II,EDEA II,LT0304,SANAGA MARITIME,SANAGA MARITIME,LT03,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
MASSOCK-SONGLOULOU,MASSOCK-SONGLOULOU,LT0305,SANAGA MARITIME,SANAGA MARITIME,LT03,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
MOUANKO,MOUANKO,LT0306,SANAGA MARITIME,SANAGA MARITIME,LT03,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
NDOM,NDOM,LT0307,SANAGA MARITIME,SANAGA MARITIME,LT03,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
NGAMBE,NGAMBE,LT0308,SANAGA MARITIME,SANAGA MARITIME,LT03,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
NGWEI,NGWEI,LT0309,SANAGA MARITIME,SANAGA MARITIME,LT03,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
NYANON,NYANON,LT0310,SANAGA MARITIME,SANAGA MARITIME,LT03,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
POUMA,POUMA,LT0311,SANAGA MARITIME,SANAGA MARITIME,LT03,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
DOUALA I,DOUALA I,LT0401,WOURI,WOURI,LT04,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
DOUALA II,DOUALA II,LT0402,WOURI,WOURI,LT04,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
DOUALA III,DOUALA III,LT0403,WOURI,WOURI,LT04,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
DOUALA IV,DOUALA IV,LT0404,WOURI,WOURI,LT04,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
DOUALA V,DOUALA V,LT0405,WOURI,WOURI,LT04,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
DOUALA VI,DOUALA VI,LT0406,WOURI,WOURI,LT04,LITTORAL,LITTORAL,LT,Cameroon,Cameroon,CMR
BASHEO,BASHEO,NO0101,BENOUE,BENOUE,NO01,NORD,NORD,NO,Cameroon,Cameroon,CMR
BIBEMI,BIBEMI,NO0102,BENOUE,BENOUE,NO01,NORD,NORD,NO,Cameroon,Cameroon,CMR
DEMBO,DEMBO,NO0103,BENOUE,BENOUE,NO01,NORD,NORD,NO,Cameroon,Cameroon,CMR
DEMSA (GASHIGA),DEMSA (GASHIGA),NO0104,BENOUE,BENOUE,NO01,NORD,NORD,NO,Cameroon,Cameroon,CMR
GAROUA I,GAROUA I,NO0105,BENOUE,BENOUE,NO01,NORD,NORD,NO,Cameroon,Cameroon,CMR
GAROUA II,GAROUA II,NO0106,BENOUE,BENOUE,NO01,NORD,NORD,NO,Cameroon,Cameroon,CMR
GAROUA III,GAROUA III,NO0107,BENOUE,BENOUE,NO01,NORD,NORD,NO,Cameroon,Cameroon,CMR
LAGDO,LAGDO,NO0108,BENOUE,BENOUE,NO01,NORD,NORD,NO,Cameroon,Cameroon,CMR
MAYO-HOURNA,MAYO-HOURNA,NO0109,BENOUE,BENOUE,NO01,NORD,NORD,NO,Cameroon,Cameroon,CMR
PITOA,PITOA,NO0110,BENOUE,BENOUE,NO01,NORD,NORD,NO,Cameroon,Cameroon,CMR
TCHEBOA (NGONG),TCHEBOA (NGONG),NO0111,BENOUE,BENOUE,NO01,NORD,NORD,NO,Cameroon,Cameroon,CMR
TOUROUA,TOUROUA,NO0112,BENOUE,BENOUE,NO01,NORD,NORD,NO,Cameroon,Cameroon,CMR
BEKA,BEKA,NO0201,FARO,FARO,NO02,NORD,NORD,NO,Cameroon,Cameroon,CMR
POLI,POLI,NO0202,FARO,FARO,NO02,NORD,NORD,NO,Cameroon,Cameroon,CMR
FIGUIL,FIGUIL,NO0301,MAYO LOUTI,MAYO LOUTI,NO03,NORD,NORD,NO,Cameroon,Cameroon,CMR
GUIDER,GUIDER,NO0302,MAYO LOUTI,MAYO LOUTI,NO03,NORD,NORD,NO,Cameroon,Cameroon,CMR
MAYO-OULO,MAYO-OULO,NO0303,MAYO LOUTI,MAYO LOUTI,NO03,NORD,NORD,NO,Cameroon,Cameroon,CMR
MADINGRING,MADINGRING,NO0401,MAYO-REY,MAYO-REY,NO04,NORD,NORD,NO,Cameroon,Cameroon,CMR
REY-BOUBA,REY-BOUBA,NO0402,MAYO-REY,MAYO-REY,NO04,NORD,NORD,NO,Cameroon,Cameroon,CMR
TCHOLLIRE,TCHOLLIRE,NO0403,MAYO-REY,MAYO-REY,NO04,NORD,NORD,NO,Cameroon,Cameroon,CMR
TOUBORO,TOUBORO,NO0404,MAYO-REY,MAYO-REY,NO04,NORD,NORD,NO,Cameroon,Cameroon,CMR
BELO,BELO,NW0101,BOYO,BOYO,NW01,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
BUM,BUM,NW0102,BOYO,BOYO,NW01,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
FUNDONG,FUNDONG,NW0103,BOYO,BOYO,NW01,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
NJINIKOM,NJINIKOM,NW0104,BOYO,BOYO,NW01,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
JAKIRI,JAKIRI,NW0201,BUI,BUI,NW02,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
KUMBO,KUMBO,NW0202,BUI,BUI,NW02,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
MBVEN (MBIAME),MBVEN (MBIAME),NW0203,BUI,BUI,NW02,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
NKUM,NKUM,NW0204,BUI,BUI,NW02,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
NONI,NONI,NW0205,BUI,BUI,NW02,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
OKU (ELAK-OKU),OKU (ELAK-OKU),NW0206,BUI,BUI,NW02,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
AKO,AKO,NW0301,DONGA MANGTUM,DONGA MANGTUM,NW03,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
MISAJE,MISAJE,NW0302,DONGA MANGTUM,DONGA MANGTUM,NW03,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
NDU,NDU,NW0303,DONGA MANGTUM,DONGA MANGTUM,NW03,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
NKAMBE,NKAMBE,NW0304,DONGA MANGTUM,DONGA MANGTUM,NW03,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
NWA,NWA,NW0305,DONGA MANGTUM,DONGA MANGTUM,NW03,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
FUNGOM,FUNGOM,NW0401,MENCHUM,MENCHUM,NW04,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
FURU-AWA,FURU-AWA,NW0402,MENCHUM,MENCHUM,NW04,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
MENCHUM VALLEY (BENAKUMA),MENCHUM VALLEY (BENAKUMA),NW0403,MENCHUM,MENCHUM,NW04,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
WUM,WUM,NW0404,MENCHUM,MENCHUM,NW04,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
BAFUT,BAFUT,NW0501,MEZAM,MEZAM,NW05,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
BALI,BALI,NW0502,MEZAM,MEZAM,NW05,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
BAMENDA I,BAMENDA I,NW0503,MEZAM,MEZAM,NW05,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
BAMENDA II,BAMENDA II,NW0504,MEZAM,MEZAM,NW05,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
BAMENDA III,BAMENDA III,NW0505,MEZAM,MEZAM,NW05,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
SANTA,SANTA,NW0506,MEZAM,MEZAM,NW05,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
TUBAH,TUBAH,NW0507,MEZAM,MEZAM,NW05,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
BATIBO,BATIBO,NW0601,MOMO,MOMO,NW06,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
MBENGWI,MBENGWI,NW0602,MOMO,MOMO,NW06,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
NGIE,NGIE,NW0603,MOMO,MOMO,NW06,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
NJIKWA,NJIKWA,NW0604,MOMO,MOMO,NW06,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
WIDIKUM-MENKA (WIDIKUM-BOFE),WIDIKUM-MENKA (WIDIKUM-BOFE),NW0605,MOMO,MOMO,NW06,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
BABESSI,BABESSI,NW0701,NGO KETUNJIA,NGO KETUNJIA,NW07,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
BALIKUMBA,BALIKUMBA,NW0702,NGO KETUNJIA,NGO KETUNJIA,NW07,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
NDOP,NDOP,NW0703,NGO KETUNJIA,NGO KETUNJIA,NW07,NORD-OUEST,NORD-OUEST,NW,Cameroon,Cameroon,CMR
BABADJOU,BABADJOU,OU0101,BAMBOUTOS,BAMBOUTOS,OU01,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BATCHAM,BATCHAM,OU0102,BAMBOUTOS,BAMBOUTOS,OU01,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
GALIM,GALIM,OU0103,BAMBOUTOS,BAMBOUTOS,OU01,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
MBOUDA,MBOUDA,OU0104,BAMBOUTOS,BAMBOUTOS,OU01,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BAFANG,BAFANG,OU0201,HAUT-NKAM,HAUT-NKAM,OU02,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BAKOU,BAKOU,OU0202,HAUT-NKAM,HAUT-NKAM,OU02,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BANA,BANA,OU0203,HAUT-NKAM,HAUT-NKAM,OU02,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BANDJA,BANDJA,OU0204,HAUT-NKAM,HAUT-NKAM,OU02,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BANKA,BANKA,OU0205,HAUT-NKAM,HAUT-NKAM,OU02,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BANWA,BANWA,OU0206,HAUT-NKAM,HAUT-NKAM,OU02,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
KEKEM,KEKEM,OU0207,HAUT-NKAM,HAUT-NKAM,OU02,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BAHAM,BAHAM,OU0301,HAUTS-PLATEAUX,HAUTS-PLATEAUX,OU03,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BAMENDJOU,BAMENDJOU,OU0302,HAUTS-PLATEAUX,HAUTS-PLATEAUX,OU03,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BANGOU,BANGOU,OU0303,HAUTS-PLATEAUX,HAUTS-PLATEAUX,OU03,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BATIE,BATIE,OU0304,HAUTS-PLATEAUX,HAUTS-PLATEAUX,OU03,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BAYANGAM,BAYANGAM,OU0401,KOUNG-KHI,KOUNG-KHI,OU04,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
DJEBEM,DJEBEM,OU0402,KOUNG-KHI,KOUNG-KHI,OU04,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
POUMOUGNE (PETE- BANDJOUN),POUMOUGNE (PETE- BANDJOUN),OU0403,KOUNG-KHI,KOUNG-KHI,OU04,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
DSCHANG,DSCHANG,OU0501,MENOUA,MENOUA,OU05,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
FOKOUE,FOKOUE,OU0502,MENOUA,MENOUA,OU05,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
FONGO-TONGO,FONGO-TONGO,OU0503,MENOUA,MENOUA,OU05,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
NKONG-NI,NKONG-NI,OU0504,MENOUA,MENOUA,OU05,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
PENKA MICHEL,PENKA MICHEL,OU0505,MENOUA,MENOUA,OU05,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
SANTCHOU,SANTCHOU,OU0506,MENOUA,MENOUA,OU05,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BAFOUSSAM I,BAFOUSSAM I,OU0601,MIFI,MIFI,OU06,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BAFOUSSAM II,BAFOUSSAM II,OU0602,MIFI,MIFI,OU06,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BAFOUSSAM III,BAFOUSSAM III,OU0603,MIFI,MIFI,OU06,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BANGANGTE,BANGANGTE,OU0701,NDE,NDE,OU07,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BASSAMBA,BASSAMBA,OU0702,NDE,NDE,OU07,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BAZOU,BAZOU,OU0703,NDE,NDE,OU07,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
TONGA,TONGA,OU0704,NDE,NDE,OU07,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BANGOURAIN,BANGOURAIN,OU0801,NOUN,NOUN,OU08,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
FOUMBAN,FOUMBAN,OU0802,NOUN,NOUN,OU08,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
FOUMBOT,FOUMBOT,OU0803,NOUN,NOUN,OU08,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
KOUOPTAMO,KOUOPTAMO,OU0804,NOUN,NOUN,OU08,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
KOUTABA,KOUTABA,OU0805,NOUN,NOUN,OU08,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
MAGBA,MAGBA,OU0806,NOUN,NOUN,OU08,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
MALENTOUEN,MALENTOUEN,OU0807,NOUN,NOUN,OU08,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
MASSANGAM,MASSANGAM,OU0808,NOUN,NOUN,OU08,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
NJIMOM,NJIMOM,OU0809,NOUN,NOUN,OU08,OUEST,OUEST,OU,Cameroon,Cameroon,CMR
BENGBIS,BENGBIS,SU0101,DJA ET LOBO,DJA ET LOBO,SU01,SUD,SUD,SU,Cameroon,Cameroon,CMR
DJOUM,DJOUM,SU0102,DJA ET LOBO,DJA ET LOBO,SU01,SUD,SUD,SU,Cameroon,Cameroon,CMR
MEYOMESSALA,MEYOMESSALA,SU0103,DJA ET LOBO,DJA ET LOBO,SU01,SUD,SUD,SU,Cameroon,Cameroon,CMR
MEYOMESSI,MEYOMESSI,SU0104,DJA ET LOBO,DJA ET LOBO,SU01,SUD,SUD,SU,Cameroon,Cameroon,CMR
MINTOM,MINTOM,SU0105,DJA ET LOBO,DJA ET LOBO,SU01,SUD,SUD,SU,Cameroon,Cameroon,CMR
OVENG,OVENG,SU0106,DJA ET LOBO,DJA ET LOBO,SU01,SUD,SUD,SU,Cameroon,Cameroon,CMR
SANGMELIMA,SANGMELIMA,SU0107,DJA ET LOBO,DJA ET LOBO,SU01,SUD,SUD,SU,Cameroon,Cameroon,CMR
ZOETELE,ZOETELE,SU0108,DJA ET LOBO,DJA ET LOBO,SU01,SUD,SUD,SU,Cameroon,Cameroon,CMR
BIWONG-BANE,BIWONG-BANE,SU0201,MVILA,MVILA,SU02,SUD,SUD,SU,Cameroon,Cameroon,CMR
BIWONG-BULU,BIWONG-BULU,SU0202,MVILA,MVILA,SU02,SUD,SUD,SU,Cameroon,Cameroon,CMR
EBOLOWA I,EBOLOWA I,SU0203,MVILA,MVILA,SU02,SUD,SUD,SU,Cameroon,Cameroon,CMR
EBOLOWA II,EBOLOWA II,SU0204,MVILA,MVILA,SU02,SUD,SUD,SU,Cameroon,Cameroon,CMR
EFOULAN,EFOULAN,SU0205,MVILA,MVILA,SU02,SUD,SUD,SU,Cameroon,Cameroon,CMR
MENGONG,MENGONG,SU0206,MVILA,MVILA,SU02,SUD,SUD,SU,Cameroon,Cameroon,CMR
MVANGAN,MVANGAN,SU0207,MVILA,MVILA,SU02,SUD,SUD,SU,Cameroon,Cameroon,CMR
NGOULEMAKONG,NGOULEMAKONG,SU0208,MVILA,MVILA,SU02,SUD,SUD,SU,Cameroon,Cameroon,CMR
AKOM II,AKOM II,SU0301,OCEAN,OCEAN,SU03,SUD,SUD,SU,Cameroon,Cameroon,CMR
BIPINDI,BIPINDI,SU0302,OCEAN,OCEAN,SU03,SUD,SUD,SU,Cameroon,Cameroon,CMR
CAMPO,CAMPO,SU0303,OCEAN,OCEAN,SU03,SUD,SUD,SU,Cameroon,Cameroon,CMR
KRIBI I,KRIBI I,SU0304,OCEAN,OCEAN,SU03,SUD,SUD,SU,Cameroon,Cameroon,CMR
KRIBI II,KRIBI II,SU0305,OCEAN,OCEAN,SU03,SUD,SUD,SU,Cameroon,Cameroon,CMR
LOKOUNDJE,LOKOUNDJE,SU0306,OCEAN,OCEAN,SU03,SUD,SUD,SU,Cameroon,Cameroon,CMR
LOLODORF,LOLODORF,SU0307,OCEAN,OCEAN,SU03,SUD,SUD,SU,Cameroon,Cameroon,CMR
MVENGUE,MVENGUE,SU0308,OCEAN,OCEAN,SU03,SUD,SUD,SU,Cameroon,Cameroon,CMR
NIETE,NIETE,SU0309,OCEAN,OCEAN,SU03,SUD,SUD,SU,Cameroon,Cameroon,CMR
AMBAM,AMBAM,SU0401,VALLEE DU NTEM,VALLEE DU NTEM,SU04,SUD,SUD,SU,Cameroon,Cameroon,CMR
KYE-OSSI,KYE-OSSI,SU0402,VALLEE DU NTEM,VALLEE DU NTEM,SU04,SUD,SUD,SU,Cameroon,Cameroon,CMR
MA'AN,MA'AN,SU0403,VALLEE DU NTEM,VALLEE DU NTEM,SU04,SUD,SUD,SU,Cameroon,Cameroon,CMR
OLAMZE,OLAMZE,SU0404,VALLEE DU NTEM,VALLEE DU NTEM,SU04,SUD,SUD,SU,Cameroon,Cameroon,CMR
BUEA,BUEA,SW0101,FAKO,FAKO,SW01,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
WEST-COAST,WEST-COAST,SW0102,FAKO,FAKO,SW01,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
LIMBE I,LIMBE I,SW0103,FAKO,FAKO,SW01,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
LIMBE II,LIMBE II,SW0104,FAKO,FAKO,SW01,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
LIMBE III,LIMBE III,SW0105,FAKO,FAKO,SW01,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
MUYUKA,MUYUKA,SW0106,FAKO,FAKO,SW01,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
TIKO,TIKO,SW0107,FAKO,FAKO,SW01,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
BANGEM,BANGEM,SW0201,KOUPE MANENGUBA,KOUPE MANENGUBA,SW02,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
NGUTI,NGUTI,SW0202,KOUPE MANENGUBA,KOUPE MANENGUBA,SW02,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
TOMBEL,TOMBEL,SW0203,KOUPE MANENGUBA,KOUPE MANENGUBA,SW02,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
ALOU,ALOU,SW0301,LEBIALEM,LEBIALEM,SW03,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
FONTEM,FONTEM,SW0302,LEBIALEM,LEBIALEM,SW03,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
WABANE,WABANE,SW0303,LEBIALEM,LEBIALEM,SW03,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
AKWAYA,AKWAYA,SW0401,MANYU,MANYU,SW04,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
EYUMEDJOCK,EYUMEDJOCK,SW0402,MANYU,MANYU,SW04,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
MAMFE,MAMFE,SW0403,MANYU,MANYU,SW04,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
UPPER BANYANG,UPPER BANYANG,SW0404,MANYU,MANYU,SW04,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
KONYE,KONYE,SW0501,MEME,MEME,SW05,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
KUMBA I,KUMBA I,SW0502,MEME,MEME,SW05,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
KUMBA II,KUMBA II,SW0503,MEME,MEME,SW05,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
KUMBA III,KUMBA III,SW0504,MEME,MEME,SW05,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
MBONGE,MBONGE,SW0505,MEME,MEME,SW05,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
BAMUSSO,BAMUSSO,SW0601,NDIAN,NDIAN,SW06,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
DIKOME-BALUE,DIKOME-BALUE,SW0602,NDIAN,NDIAN,SW06,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
EKONDO-TITI,EKONDO-TITI,SW0603,NDIAN,NDIAN,SW06,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
IDABATO,IDABATO,SW0604,NDIAN,NDIAN,SW06,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
ISANGELE,ISANGELE,SW0605,NDIAN,NDIAN,SW06,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
KOMBO-ABEDIMO,KOMBO-ABEDIMO,SW0606,NDIAN,NDIAN,SW06,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
KOMBO-ITINDI,KOMBO-ITINDI,SW0607,NDIAN,NDIAN,SW06,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
MUNDEMBA,MUNDEMBA,SW0608,NDIAN,NDIAN,SW06,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
TOKO,TOKO,SW0609,NDIAN,NDIAN,SW06,SUD-OUEST,SUD-OUEST,SW,Cameroon,Cameroon,CMR
